RDM Export File,,,,,,,,,,,,,,,,,,,
Project Name: Bubu,,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,,
Operator: tyler,,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference: ,,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference Side: Right,,,,,,,,,,,,,,,,,,,
Y-Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,,
File Name: Sample2,,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-05-08.10:52:41,,,,,,,,,,,,,,,,,,,
File Comments: sb,,,,,,,,,,,,,,,,,,,
Moving Average Window Size (ft): 0.50,,,,,,,,,,,,,,,,,,,
Output Interval (ft): 0.50,,,,,,,,,,,,,,,,,,,
Distance (ft), Station, Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality
5781,57+81.00,-97.45672336,31.65188846,208.4,2.75,5.46,96.31,-97.4567305,31.651884,208.4,0,5.48,95.67,-97.45673764,31.65187954,208.4,-2.75,5.21,96.52
5782,57+82.00,-97.45672334,31.65188843,208.4,2.75,5.68,96.3,-97.4567305,31.651884,208.4,0,5.5,95.71,-97.45673766,31.65187957,208.4,-2.75,5.16,96.45
5782.5,57+82.50,-97.45672322,31.65188827,208.4,2.75,5.78,96.26,-97.45673038,31.65188384,208.4,0,5.49,95.72,-97.45673754,31.65187941,208.4,-2.75,5.15,96.5
5783,57+83.00,-97.45672206,31.65188693,208.4,2.75,5.53,96.23,-97.45672923,31.65188251,208.4,0,5.59,95.67,-97.45673641,31.6518781,208.4,-2.75,5.29,96.56
5783.5,57+83.50,-97.45672076,31.65188547,208.4,2.75,5.38,96.17,-97.45672794,31.65188106,208.4,0,5.52,95.75,-97.45673511,31.65187665,208.4,-2.75,5.22,96.55
5784,57+84.00,-97.45671969,31.65188453,208.34,2.75,5.03,96.12,-97.45672696,31.65188024,208.34,0,5.54,95.76,-97.45673424,31.65187595,208.34,-2.75,5.33,96.51
5785,57+85.00,-97.45671831,31.65188313,208.3,2.75,4.89,96.1,-97.45672558,31.65187883,208.3,0,5.57,95.71,-97.45673285,31.65187453,208.3,-2.75,5.2,96.55
5785.5,57+85.50,-97.45671736,31.65188182,208.3,2.75,4.86,96.09,-97.45672464,31.65187753,208.3,0,5.5,95.68,-97.45673191,31.65187323,208.3,-2.75,5.18,96.52
5786,57+86.00,-97.45671658,31.65188076,208.3,2.75,4.81,96.06,-97.45672385,31.65187646,208.3,0,5.49,95.63,-97.45673112,31.65187215,208.3,-2.75,5.16,96.5
5786.5,57+86.50,-97.45671556,31.65187935,208.3,2.75,4.88,96.01,-97.45672283,31.65187505,208.3,0,5.52,95.6,-97.4567301,31.65187075,208.3,-2.75,5.19,96.48
