RDM Export File,,,,,,,,,,,,,,,,,,,,
Project Name: BrooOm,,,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,,,
Operator: ,,,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,,,
Lateral Offset Reference: Distance From Lane Edge,,,,,,,,,,,,,,,,,,,,
Lateral Offset Reference Side: Right,,,,,,,,,,,,,,,,,,,,
Lateral Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,,,
Collection Direction: Decreasing Distance,,,,,,,,,,,,,,,,,,,,
Sensor Lateral Offsets (ft): Serial#3=-2;Serial#4=0;Serial#7=2;,,,,,,,,,,,,,,,,,,,,
Sensor Positions on metal rail(ft): Serial#3=2L;Serial#4=0;Serial#7=2R;,,,,,,,,,,,,,,,,,,,,
Lot: ,,,,,,,,,,,,,,,,,,,,
Sublot: ,,,,,,,,,,,,,,,,,,,,
File Name: Sample4,,,,,,,,,,,,,,,,,,,,
File Type: Time,,,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-09-20.14:33:40,,,,,,,,,,,,,,,,,,,,
File Comments: ,,,,,,,,,,,,,,,,,,,,
Moving Average Window Size (sec): 0.25,,,,,,,,,,,,,,,,,,,,
Output Interval (sec): 0.01,,,,,,,,,,,,,,,,,,,,
GPS Time Lag (sec): 0.00,,,,,,,,,,,,,,,,,,,,
Time (sec), Distance (ft), Station, Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality
4.66,0,0+0.00,0,0,0,-2,5.23,95.49,0,0,0,0,5.44,95.79,0,0,0,2,5.49,96.19
4.66,0,0+0.00,0,0,0,-2,5.24,95.46,0,0,0,0,5.48,95.8,0,0,0,2,5.58,96.49
4.66,0,0+0.00,0,0,0,-2,5.11,95.44,0,0,0,0,5.49,95.8,0,0,0,2,5.49,96.46
4.66,0,0+0.00,0,0,0,-2,5.15,95.42,0,0,0,0,5.5,95.77,0,0,0,2,5.57,96.45
4.66,0,0+0.00,0,0,0,-2,5.22,95.4,0,0,0,0,5.47,95.76,0,0,0,2,5.52,96.43
4.66,0,0+0.00,0,0,0,-2,5.18,95.37,0,0,0,0,5.5,95.74,0,0,0,2,5.5,96.41
4.56,0,0+0.00,0,0,0,-2,5.22,95.35,0,0,0,0,5.41,95.79,0,0,0,2,5.6,96.44
4.56,0,0+0.00,0,0,0,-2,5.19,95.4,0,0,0,0,5.48,95.82,0,0,0,2,5.56,96.52
4.56,0,0+0.00,0,0,0,-2,5.23,95.38,0,0,0,0,5.5,95.8,0,0,0,2,5.57,96.61
4.56,0,0+0.00,0,0,0,-2,5.26,95.36,0,0,0,0,5.41,95.84,0,0,0,2,5.57,96.63
4.56,0,0+0.00,0,0,0,-2,5.22,95.52,0,0,0,0,5.44,95.82,0,0,0,2,5.54,96.62
4.56,0,0+0.00,0,0,0,-2,5.12,95.52,0,0,0,0,5.41,95.8,0,0,0,2,5.54,96.62
4.45,0,0+0.00,0,0,0,-2,5.26,95.5,0,0,0,0,5.45,95.82,0,0,0,2,5.58,96.6
4.45,0,0+0.00,0,0,0,-2,5.17,95.5,0,0,0,0,5.43,95.81,0,0,0,2,5.58,96.59
4.45,0,0+0.00,0,0,0,-2,5.23,95.51,0,0,0,0,5.47,95.83,0,0,0,2,5.51,96.68
4.45,0,0+0.00,0,0,0,-2,5.22,95.49,0,0,0,0,5.45,95.81,0,0,0,2,5.49,96.66
4.45,0,0+0.00,0,0,0,-2,5.2,95.47,0,0,0,0,5.41,95.79,0,0,0,2,5.56,96.67
4.45,0,0+0.00,0,0,0,-2,5.17,95.45,0,0,0,0,5.41,95.77,0,0,0,2,5.59,96.67
4.36,0,0+0.00,0,0,0,-2,5.18,95.47,0,0,0,0,5.5,95.83,0,0,0,2,5.55,96.72
4.36,0,0+0.00,0,0,0,-2,5.15,95.45,0,0,0,0,5.41,95.83,0,0,0,2,5.57,96.7
4.36,0,0+0.00,0,0,0,-2,5.17,95.47,0,0,0,0,5.49,95.82,0,0,0,2,5.49,96.68
4.36,0,0+0.00,0,0,0,-2,5.21,95.47,0,0,0,0,5.44,95.9,0,0,0,2,5.5,96.68
4.36,0,0+0.00,0,0,0,-2,5.17,95.56,0,0,0,0,5.45,95.92,0,0,0,2,5.52,96.7
4.36,0,0+0.00,0,0,0,-2,5.21,95.55,0,0,0,0,5.5,95.9,0,0,0,2,5.51,96.73
4.36,0,0+0.00,0,0,0,-2,5.13,95.55,0,0,0,0,5.47,95.88,0,0,0,2,5.58,96.71
4.25,0,0+0.00,0,0,0,-2,5.2,95.56,0,0,0,0,5.53,95.88,0,0,0,2,5.65,96.71
4.25,0,0+0.00,0,0,0,-2,5.16,95.54,0,0,0,0,5.45,95.86,0,0,0,2,5.58,96.78
4.25,0,0+0.00,0,0,0,-2,5.23,95.52,0,0,0,0,5.49,95.84,0,0,0,2,5.55,96.79
4.25,0,0+0.00,0,0,0,-2,5.25,95.53,0,0,0,0,5.49,95.89,0,0,0,2,5.63,96.77
4.25,0,0+0.00,0,0,0,-2,5.19,95.51,0,0,0,0,5.49,95.88,0,0,0,2,5.61,96.77
4.25,0,0+0.00,0,0,0,-2,5.23,95.5,0,0,0,0,5.48,95.88,0,0,0,2,5.51,96.76
4.25,0,0+0.00,0,0,0,-2,5.2,95.48,0,0,0,0,5.39,95.9,0,0,0,2,5.52,96.75
4.16,0,0+0.00,0,0,0,-2,5.19,95.46,0,0,0,0,5.49,95.93,0,0,0,2,5.48,96.91
4.16,0,0+0.00,0,0,0,-2,5.21,95.45,0,0,0,0,5.42,95.92,0,0,0,2,5.53,96.91
4.16,0,0+0.00,0,0,0,-2,5.2,95.43,0,0,0,0,5.47,95.96,0,0,0,2,5.53,96.89
4.16,0,0+0.00,0,0,0,-2,5.19,95.41,0,0,0,0,5.4,95.94,0,0,0,2,5.57,96.87
4.16,0,0+0.00,0,0,0,-2,5.16,95.43,0,0,0,0,5.47,95.94,0,0,0,2,5.48,96.85
4.16,0,0+0.00,0,0,0,-2,5.17,95.42,0,0,0,0,5.47,95.92,0,0,0,2,5.51,96.83
4.05,0,0+0.00,0,0,0,-2,5.2,95.44,0,0,0,0,5.48,95.91,0,0,0,2,5.51,96.82
4.05,0,0+0.00,0,0,0,-2,5.23,95.44,0,0,0,0,5.51,95.92,0,0,0,2,5.59,96.8
4.05,0,0+0.00,0,0,0,-2,5.17,95.44,0,0,0,0,5.48,95.92,0,0,0,2,5.56,96.78
4.05,0,0+0.00,0,0,0,-2,5.18,95.42,0,0,0,0,5.47,95.9,0,0,0,2,5.61,96.76
4.05,0,0+0.00,0,0,0,-2,5.19,95.42,0,0,0,0,5.47,95.9,0,0,0,2,5.57,96.76
4.05,0,0+0.00,0,0,0,-2,5.22,95.41,0,0,0,0,5.46,95.88,0,0,0,2,5.59,96.76
3.95,0,0+0.00,0,0,0,-2,5.23,95.4,0,0,0,0,5.42,95.86,0,0,0,2,5.53,96.74
3.95,0,0+0.00,0,0,0,-2,5.13,95.48,0,0,0,0,5.48,95.85,0,0,0,2,5.53,96.75
3.95,0,0+0.00,0,0,0,-2,5.15,95.49,0,0,0,0,5.5,95.84,0,0,0,2,5.56,96.73
3.95,0,0+0.00,0,0,0,-2,5.18,95.48,0,0,0,0,5.47,95.82,0,0,0,2,5.53,96.72
3.95,0,0+0.00,0,0,0,-2,5.12,95.47,0,0,0,0,5.41,95.82,0,0,0,2,5.62,96.71
3.95,0,0+0.00,0,0,0,-2,5.23,95.45,0,0,0,0,5.45,95.82,0,0,0,2,5.53,96.7
3.84,0,0+0.00,0,0,0,-2,5.21,95.44,0,0,0,0,5.44,95.82,0,0,0,2,5.48,96.68
3.84,0,0+0.00,0,0,0,-2,5.21,95.42,0,0,0,0,5.44,95.82,0,0,0,2,5.56,96.66
